mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	dynamics	tempo	qpm	tempo_visible	thoroughbass_duration	thoroughbass_level_1	thoroughbass_level_2	slur
30	28	165/2	165/2	0.25	1/8	1/8	Chord	3/4	1	1	1/16	1/16	1	264								5
30	28	331/4	331/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16	1/16	1	265								
30	28	83	83	0.5	1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	266								
30	28	167/2	167/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	267								
30	28	84	84	0.5	1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	268								
30	28	169/2	169/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	269								
30	28	82	82	2.0	0	0	Chord	3/4	2	1	1/2	1/2	1	270								
30	28	84	84	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	271								
30	28	82	82	0.0	0	0	FiguredBass	3/4	3	1	0								1/2	#		
30	28	82	82	2.0	0	0	Chord	3/4	3	1	1/2	1/2	1	272								
30	28	84	84	0.0	1/2	1/2	FiguredBass	3/4	3	1	0								1/4	6		
30	28	84	84	1.0	1/2	1/2	Chord	3/4	3	1	1/4	1/4	1	273								
31	29	85	85	0.5	0	0	Chord	3/4	1	1	1/8	1/8	1	274								
31	29	171/2	171/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	275								
31	29	86	86	0.5	1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	276								
31	29	173/2	173/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	277								
31	29	87	87	0.5	1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	278								
31	29	175/2	175/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	279								
31	29	85	85	2.0	0	0	Chord	3/4	2	1	1/2	1/2	1	280								
31	29	87	87	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	281								
31	29	85	85	2.0	0	0	Chord	3/4	3	1	1/2	1/2	1	282								
31	29	87	87	0.0	1/2	1/2	FiguredBass	3/4	3	1	0								1/4	6		
31	29	87	87	1.0	1/2	1/2	Chord	3/4	3	1	1/4	1/4	1	283								
32	30	88	88	0.5	0	0	Chord	3/4	1	1	1/8	1/8	1	284								
32	30	177/2	177/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	285								
32	30	89	89	0.5	1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	286								
32	30	179/2	179/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	287								
32	30	90	90	0.5	1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	288								
32	30	181/2	181/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	289								
32	30	88	88	2.0	0	0	Chord	3/4	2	1	1/2	1/2	1	290								
32	30	90	90	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	291								
32	30	88	88	2.0	0	0	Chord	3/4	3	1	1/2	1/2	1	292								
32	30	90	90	0.0	1/2	1/2	FiguredBass	3/4	3	1	0								1/4	6		
32	30	90	90	1.0	1/2	1/2	Chord	3/4	3	1	1/4	1/4	1	293								
33	31	91	91	0.5	0	0	Chord	3/4	1	1	1/8	1/8	1	294								
33	31	183/2	183/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	295								
33	31	92	92	0.5	1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	296								
33	31	185/2	185/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	297								
33	31	93	93	0.5	1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	298								
33	31	187/2	187/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	299								
33	31	91	91	0.5	0	0	Chord	3/4	2	1	1/8	1/8	1	300								
33	31	183/2	183/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8	1/8	1	301								
33	31	92	92	0.5	1/4	1/4	Chord	3/4	2	1	1/8	1/8	1	302								
33	31	185/2	185/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8	1/8	1	303								
33	31	93	93	0.5	1/2	1/2	Chord	3/4	2	1	1/8	1/8	1	304								
33	31	187/2	187/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	305								
33	31	91	91	0.0	0	0	FiguredBass	3/4	3	1	0								1/2	#		
33	31	91	91	2.0	0	0	Chord	3/4	3	1	1/2	1/2	1	306								
34	32	94	94	0.0	0	0	Dynamic	3/4	1	1	0				other-dynamics							
34	32	94	94	0.0	0	0	Dynamic	3/4	1	1	0				p							
34	32	94	94	0.5	0	0	Chord	3/4	1	1	1/8	1/8	1	307								
34	32	189/2	189/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	308								
34	32	95	95	0.5	1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	309								
34	32	191/2	191/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	310								
34	32	96	96	0.5	1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	311								
34	32	193/2	193/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	312								
34	32	94	94	0.5	0	0	Chord	3/4	2	1	1/8	1/8	1	313								
34	32	189/2	189/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8	1/8	1	314								
34	32	95	95	0.5	1/4	1/4	Chord	3/4	2	1	1/8	1/8	1	315								
34	32	191/2	191/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8	1/8	1	316								
34	32	96	96	0.5	1/2	1/2	Chord	3/4	2	1	1/8	1/8	1	317								
34	32	193/2	193/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	318								
34	32	94	94	0.0	0	0	FiguredBass	3/4	3	1	0								1/2	#		
34	32	94	94	2.0	0	0	Chord	3/4	3	1	1/2	1/2	1	319								
35	33	97	97	0.0	0	0	Dynamic	3/4	1	1	0				other-dynamics							
35	33	97	97	0.0	0	0	Dynamic	3/4	1	1	0				f							
35	33	97	97	0.5	0	0	Chord	3/4	1	1	1/8	1/8	1	320								
35	33	195/2	195/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	321								
35	33	98	98	0.5	1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	322								
35	33	197/2	197/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	323								
35	33	99	99	0.5	1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	324								
35	33	199/2	199/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	325								
35	33	97	97	0.5	0	0	Chord	3/4	2	1	1/8	1/8	1	326								
35	33	195/2	195/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8	1/8	1	327								
35	33	98	98	0.5	1/4	1/4	Chord	3/4	2	1	1/8	1/8	1	328								
35	33	197/2	197/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8	1/8	1	329								
35	33	99	99	0.5	1/2	1/2	Chord	3/4	2	1	1/8	1/8	1	330								
35	33	199/2	199/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	331								
35	33	97	97	0.0	0	0	FiguredBass	3/4	3	1	0								1/2	#		
35	33	97	97	2.0	0	0	Chord	3/4	3	1	1/2	1/2	1	332								
35	33	99	99	0.0	1/2	1/2	FiguredBass	3/4	3	1	0								1/4	6		
35	33	99	99	1.0	1/2	1/2	Chord	3/4	3	1	1/4	1/4	1	333								
36	34	100	100	0.5	0	0	Chord	3/4	1	1	1/8	1/8	1	334								6
36	34	201/2	201/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	335								
36	34	101	101	1.5	1/4	1/4	Chord	3/4	1	1	3/8	1/4	3/2	336								
36	34	205/2	205/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	337								
36	34	100	100	0.5	0	0	Chord	3/4	2	1	1/8	1/8	1	338								7
36	34	201/2	201/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8	1/8	1	339								
36	34	101	101	1.5	1/4	1/4	Chord	3/4	2	1	3/8	1/4	3/2	340								
36	34	205/2	205/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	341								
36	34	100	100	0.0	0	0	FiguredBass	3/4	3	1	0								1/4	6	5	
36	34	100	100	1.0	0	0	Chord	3/4	3	1	1/4	1/4	1	342								
36	34	101	101	0.0	1/4	1/4	FiguredBass	3/4	3	1	0								3/8	5	4	
36	34	101	101	2.0	1/4	1/4	Chord	3/4	3	1	1/2	1/2	1	343								
36	34	205/2	205/2	0.0	5/8	5/8	FiguredBass	3/4	3	1	0								1/8	_	#	
37	35	103	103	1.5	0	0	Chord	3/4	1	1	3/8	1/4	3/2	344								
37	35	209/2	209/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	345								
37	35	105	105	0.5	1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	346								8
37	35	211/2	211/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	347								
37	35	103	103	2.0	0	0	Chord	3/4	2	1	1/2	1/2	1	348								
37	35	105	105	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	349								
37	35	103	103	2.0	0	0	Chord	3/4	3	1	1/2	1/2	1	350								
37	35	105	105	1.0	1/2	1/2	Chord	3/4	3	1	1/4	1/4	1	351								
38	36	106	106	0.5	0	0	Chord	3/4	1	1	1/8	1/8	1	352								9
38	36	213/2	213/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	353								
38	36	107	107	1.5	1/4	1/4	Chord	3/4	1	1	3/8	1/4	3/2	354								
38	36	217/2	217/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	355								
38	36	106	106	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	356								
38	36	107	107	1.5	1/4	1/4	Chord	3/4	2	1	3/8	1/4	3/2	357								
38	36	217/2	217/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	358								
38	36	106	106	1.0	0	0	Chord	3/4	3	1	1/4	1/4	1	359								
38	36	107	107	0.0	1/4	1/4	FiguredBass	3/4	3	1	0								3/8	5	4	
38	36	107	107	2.0	1/4	1/4	Chord	3/4	3	1	1/2	1/2	1	360								
38	36	217/2	217/2	0.0	5/8	5/8	FiguredBass	3/4	3	1	0								1/8	_	#	
39	37	109	109	2.0	0	0	Chord	3/4	1	1	1/2	1/2	1	361								
39	37	109	109	2.0	0	0	Chord	3/4	2	1	1/2	1/2	1	362								
39	37	109	109	2.0	0	0	Chord	3/4	3	1	1/2	1/2	1	363								
